Player	Deck	Date Played	Won (Y/N)	Game Number
Nic	Sauron Army	28/08/2024	No	1
Ben	Revenant Recon	28/08/2024	No	1
Dante	Graveyard Overdrive	28/08/2024	No	1
Ashe	Peace Offering	28/08/2024	Yes	1
Nic	Sauron Army	4/09/2024	No	2
Ben	Voja Elves	4/09/2024	No	2
Dante	Draconic Dissent	4/09/2024	No	2
Otis	Creative Energy	4/09/2024	Yes	2
Ben	Revenant Recon	7/09/2024	Yes	3
Al	Graveyard Overdrive	7/09/2024	No	3
Dante	Draconic Dissent	7/09/2024	No	3
Nic	Sauron Army	7/09/2024	No	3
Ben	Revenant Recon	8/09/2024	No	4
Dante	Draconic Dissent	8/09/2024	Yes	4
Nic	Baeloth Goad	8/09/2024	No	4
Otis	Creative Energy	8/09/2024	No	4
Nic	Baeloth Goad	11/09/2024	No	5
Dante	Graveyard Overdrive	11/09/2024	No	5
Ben	Eldrazi Incursion	11/09/2024	Yes	5
Ashe	Peace Offering	11/09/2024	No	5
Tonsi	Desert Bloom	11/09/2024	No	5
Nic	Omo Landwalk	17/09/2024	No	6
Ben	Eriette Aura Theft	17/09/2024	No	6
Dante	Draconic Dissent	17/09/2024	Yes	6
Otis	Creative Energy	17/09/2024	No	6
Nic	Sauron Army	17/09/2024	Yes	7
Ben	Rograkh Equipment	17/09/2024	No	7
Dante	Graveyard Overdrive	17/09/2024	No	7
Otis	Creative Energy	17/09/2024	No	7
Nic	Sauron Army	17/09/2024	No	8
Ben	Revenant Recon	17/09/2024	Yes	8
Dante	Draconic Dissent	17/09/2024	No	8
Otis	Mutant Menace	17/09/2024	No	8
Nic	Lynde Curse	22/09/2024	Yes	9
Ashe	Peace Offering	22/09/2024	No	9
Otis	Creative Energy	22/09/2024	No	9
Ben	Quick Draw	22/09/2024	No	9
Nic	Lynde Curse	22/09/2024	Yes	10
Ben	Quick Draw	22/09/2024	No	10
Otis	Creative Energy	22/09/2024	No	10
Ashe	Cavalry Charge	22/09/2024	No	10
Nic	Baeloth Goad	24/09/2024	No	11
Ashe	Virtue and Valor	24/09/2024	Yes	11
Dante	Graveyard Overdrive	24/09/2024	No	11
Ben	Quick Draw	24/09/2024	No	11
Nic	Lynde Curse	24/09/2024	No	12
Ashe	Peace Offering	24/09/2024	No	12
Dante	Draconic Dissent	24/09/2024	Yes	12
Ben	Revenant Recon	24/09/2024	No	12
Nic	Urza's Iron Alliance	25/09/2024	No	13
Ben	Quick Draw	25/09/2024	No	13
Otis	Creative Energy	25/09/2024	Yes	13
Hugh	Voja Elves	25/09/2024	No	13
Nic	Omo Landwalk	25/09/2024	No	14
Ben	Quick Draw	25/09/2024	Yes	14
Otis	Mutant Menace	25/09/2024	No	14
Hugh	Voja Elves	25/09/2024	No	14
Nic	Baeloth Goad	30/09/2024	No	15
Ben	Revenant Recon	30/09/2024	Yes	15
Jaxon	Voja Elves	30/09/2024	No	15
Hugh	Mutant Menace	30/09/2024	No	15
Nic	Baeloth Goad	30/09/2024	Yes	16
Ben	Mishra's Burnished Banner	30/09/2024	No	16
Jaxon	Voja Elves	30/09/2024	No	16
Hugh	Mutant Menace	30/09/2024	No	16
Nic	Lynde Curse	1/10/2024	Yes	17
Ben	Revenant Recon	1/10/2024	No	17
Ashe	Peace Offering	1/10/2024	No	17
Dante	Graveyard Overdrive	1/10/2024	No	17
Ben	Revenant Recon	1/10/2024	Yes	18
Otis	Creative Energy	1/10/2024	No	18
Ashe	Peace Offering	1/10/2024	No	18
Dante	Draconic Dissent	1/10/2024	No	18
Nic	Lynde Curse	1/10/2024	No	18
Hugh	Mutant Menace	1/10/2024	No	18
Nic	Sauron Army	3/10/2024	Yes	19
Ben	Mishra's Burnished Banner	3/10/2024	No	19
Jaxon	Miiryn Dragons	3/10/2024	No	19
Dante	Draconic Dissent	3/10/2024	No	19
Nic	Baeloth Goad	3/10/2024	No	20
Ben	Eldrazi Incursion	3/10/2024	Yes	20
Jaxon	Miiryn Dragons	3/10/2024	No	20
Dante	Draconic Dissent	3/10/2024	No	20
Nic	Baeloth Goad	3/10/2024	Yes	21
Ben	Revenant Recon	3/10/2024	No	21
Jaxon	Miiryn Dragons	3/10/2024	No	21
Dante	Draconic Dissent	3/10/2024	No	21
Nic	Omo Landwalk	6/10/2024	Yes	22
Ashe	Vito Vampires	6/10/2024	No	22
Hugh	Jumpscare	6/10/2024	No	22
Ben	Eldrazi Incursion	6/10/2024	No	22
Nic	Lynde Curse	6/10/2024	No	23
Ashe	Vito Vampires	6/10/2024	Yes	23
Hugh	Jumpscare	6/10/2024	No	23
Ben	Eldrazi Incursion	6/10/2024	No	23
Nic	Lynde Curse	6/10/2024	No	24
Ashe	Vito Vampires	6/10/2024	No	24
Hugh	Jumpscare	6/10/2024	Yes	24
Ben	Eldrazi Incursion	6/10/2024	No	24
Nic	Sauron Army	10/10/2024	No	25
Ben	Eldrazi Incursion	10/10/2024	No	25
Dante	Graveyard Overdrive	10/10/2024	No	25
Ashe	Vito Vampires	10/10/2024	No	25
Jaxon	Miiryn Dragons	10/10/2024	Yes	25
Ben	Eldrazi Incursion	10/10/2024	No	26
Dante	Draconic Dissent	10/10/2024	No	26
Ashe	Peace Offering	10/10/2024	No	26
Nic	Baeloth Goad	10/10/2024	No	26
Jaxon	Miiryn Dragons	10/10/2024	Yes	26
Nic	Lynde Curse	13/10/2024	Yes	27
Ashe	Vito Vampires	13/10/2024	No	27
Hugh	Jumpscare	13/10/2024	No	27
Ben	Quick Draw	13/10/2024	No	27
Nic	Sauron Army	13/10/2024	No	28
Ashe	Vito Vampires	13/10/2024	Yes	28
Hugh	Jumpscare	13/10/2024	No	28
Ben	Quick Draw	13/10/2024	No	28
Nic	Peace Offering	13/10/2024	No	29
Ashe	Vito Vampires	13/10/2024	No	29
Hugh	Jumpscare	13/10/2024	Yes	29
Ben	Quick Draw	13/10/2024	No	29
Nic	Abaddon Demon Cascade	15/10/2024	No	30
Ben	Voja Elves	15/10/2024	No	30
Dante	Draconic Dissent	15/10/2024	No	30
Ashe	Vito Vampires	15/10/2024	Yes	30
Jaxon	Miiryn Dragons	15/10/2024	No	30
Nic	Abaddon Demon Cascade	15/10/2024	Yes	31
Ben	Rograkh Equipment	15/10/2024	No	31
Dante	Draconic Dissent	15/10/2024	No	31
Ashe	Vito Vampires	15/10/2024	No	31
Jaxon	Miiryn Dragons	15/10/2024	No	31
Nic	Baeloth Goad	15/10/2024	No	32
Ben	Revenant Recon	15/10/2024	Yes	32
Dante	Draconic Dissent	15/10/2024	No	32
Ashe	Vito Vampires	15/10/2024	No	32
Jaxon	Miiryn Dragons	15/10/2024	No	32
Nic	Abaddon Demon Cascade	17/10/2024	No	33
Ben	Quick Draw	17/10/2024	No	33
Dante	Graveyard Overdrive	17/10/2024	No	33
Jaxon	Miiryn Dragons	17/10/2024	Yes	33
Nic	Lynde Curse	17/10/2024	No	34
Ben	Quick Draw	17/10/2024	No	34
Dante	Graveyard Overdrive	17/10/2024	Yes	34
Jaxon	Miiryn Dragons	17/10/2024	No	34
Nic	Abaddon Demon Cascade	20/10/2024	No	35
Ben	Mishra's Burnished Banner	20/10/2024	No	35
Otis	Creative Energy	20/10/2024	Yes	35
Dante	Graveyard Overdrive	20/10/2024	No	35
Nic	Abaddon Demon Cascade	20/10/2024	No	36
Ben	Quick Draw	20/10/2024	No	36
Otis	Mutant Menace	20/10/2024	No	36
Dante	Graveyard Overdrive	20/10/2024	Yes	36
Nic	Omo Landwalk	21/10/2024	Yes	37
Ashe	Peace Offering	21/10/2024	No	37
Ben	Revenant Recon	21/10/2024	No	37
Jaxon	Miiryn Dragons	21/10/2024	No	37
Nic	Abaddon Demon Cascade	23/10/2024	No	38
Ben	Rograkh Equipment	23/10/2024	Yes	38
Ashe	Vito Vampires	23/10/2024	No	38
Nic	Abaddon Demon Cascade	23/10/2024	Yes	39
Ben	Quick Draw	23/10/2024	No	39
Ashe	Vito Vampires	23/10/2024	No	39
Nic	Omo Landwalk	23/10/2024	No	40
Ben	Quick Draw	23/10/2024	No	40
Ashe	Vito Vampires	23/10/2024	Yes	40
Nic	Omo Landwalk	23/10/2024	No	41
Ben	Quick Draw	23/10/2024	Yes	41
Ashe	Vito Vampires	23/10/2024	No	41
Nic	Lynde Curse	24/10/2024	No	42
Ben	Eldrazi Incursion	24/10/2024	No	42
Dante	Graveyard Overdrive	24/10/2024	Yes	42
Jaxon	Miiryn Dragons	24/10/2024	No	42
Nic	Baeloth Goad	24/10/2024	No	43
Ben	Rograkh Equipment	24/10/2024	Yes	43
Dante	Draconic Dissent	24/10/2024	No	43
Jaxon	Miiryn Dragons	24/10/2024	No	43
